"Present_Tmax"	"Present_Tmin"	"LDAPS_RHmin"	"LDAPS_RHmax"	"LDAPS_Tmax_lapse"	"LDAPS_Tmin_lapse"	"LDAPS_WS"	"LDAPS_LH"	"LDAPS_CC1"	"LDAPS_CC2"	"LDAPS_CC3"	"LDAPS_CC4"	"LDAPS_PPT1"	"LDAPS_PPT2"	"LDAPS_PPT3"	"LDAPS_PPT4"	"lat"	"lon"	"DEM"	"Slope"	"Solar.radiation"	"Next_Tmax"	"Next_Tmin"
31.9	26.3	55.52946091	90.41163635	32.36770547	26.27470415	NA	NA	0.497263331	NA	NA	NA	0.116649653	0.000303309	0	0	37.4967	126.927	NA	0.618	5339.776367	32.2	26.1
26.5	21.1	43.70235443	83.66031647	30.22927712	NA	5.8359103	108.8529475	0.308975037	NA	0.162666701	0.121993266	0	0	0	0.133676413	37.4832	127.024	NA	1.2313	5846.703125	33.9	22.7
30	22.1	49.61863709	91.38059998	31.33161074	23.9517155	6.063868562	NA	0.088199343	0.119333447	NA	0.028081812	NA	0	0	0	37.6046	127.032	NA	0.5141	5558.630371	31.9	21.7
NA	NA	31.75949097	NA	NA	NA	5.268278132	86.2745827	0.316618411	0.11118076	NA	0.033080255	0	NA	0	0	37.5372	126.891	NA	0.1554	5810.380859	34.1	22
34.3	NA	46.3203392	NA	32.32462409	27.31858535	6.464954754	NA	0.201651239	NA	0.030005577	0	0	0	0	0	NA	126.891	15.5876	0.1554	NA	NA	NA
NA	23.4	49.44351196	82.74793243	29.35270134	23.11374733	8.314713399	62.57840856	0.779994377	NA	NA	0.051464002	0.020956029	0.007375233	0	0	NA	127.085	28.7	0.6233	5761.848633	29.9	23.9
30	21.6	NA	91.89863586	31.13721557	NA	5.322189957	NA	0.036549012	0.149895379	0.076716583	0.096643136	NA	0.613459945	0.016845703	0	37.645	127.022	45.716	2.5348	5856.964844	NA	21.5
32.9	NA	53.21667862	NA	32.77917094	NA	5.60244978	77.80543712	0.096065915	0.183753085	0.06571033	0.452474025	0	0	0	0	37.645	NA	45.716	NA	4788.694824	33.2	26.2
32.4	NA	NA	86.09988403	31.39213925	27.29517344	NA	28.46307629	0.191738872	0.257917625	0.276534831	NA	0	0	NA	NA	37.5237	126.97	NA	0.2713	5315.115723	NA	25.9
NA	22.9	35.64476013	93.19195557	31.87403317	NA	NA	109.9661234	0.21334216	NA	NA	0.004027884	0	0	0	0	37.4832	NA	56.4448	NA	4706.144531	NA	22.6
32.6	23.8	41.44893646	85.02670288	35.37763767	28.01482006	6.656374772	NA	0.244508667	0.118983804	0.017135882	0.003616488	0	0	NA	0	NA	127.04	26.298	0.5721	5123.937988	33.1	26.6
NA	22.9	55.264431	NA	29.22214486	NA	4.06921501	50.76028633	0.762600063	0.640439442	0.183209913	0.502980346	NA	0.153045823	NA	0	NA	126.91	52.518	1.5629	5586.337402	NA	19
31.3	23	NA	NA	NA	24.36075403	10.14973442	NA	NA	0.652896148	0.699857264	0.313688285	NA	0.300687277	NA	NA	NA	127.085	28.7	0.6233	4545.04834	27.5	23.6
32.4	24.5	52.03131866	88.67259979	NA	27.03719722	NA	51.98263681	0.486069822	0.383181817	0.070210688	NA	0.013972573	0.241084417	0	0	37.5776	NA	NA	1.7678	5037.410156	NA	24.3
29.7	25.3	49.63922501	78.29956055	32.04166803	25.6306396	4.696145882	NA	0.273230333	0.189876598	0.206208655	0.068114799	0	NA	0	NA	NA	126.909	17.2956	NA	5406.136719	34.3	25
29	NA	58.13933563	81.55432129	28.45080027	NA	5.511063457	55.34070085	NA	0.22088901	0.316568906	0.000911467	0	0	3.578618685	0	37.6046	NA	44.7624	0.5141	4581.376465	30.8	NA
NA	24.1	56.11956024	90.09631348	30.87152613	24.32672507	6.897027483	90.77952717	NA	NA	NA	0.199085006	0	NA	0	0	37.4832	127.024	NA	1.2313	NA	32.6	23.4
NA	26.5	51.55550385	NA	31.70170496	25.2616835	6.206045995	NA	NA	0.245768108	0.104729124	0.009999102	14.47475526	0	0.000672612	0	NA	126.938	NA	1.7678	4938.088379	NA	NA
25.6	24.3	NA	96.69674683	24.81611402	22.98294892	9.158964624	41.38866087	0.791859207	0.890298075	NA	0.887596271	0.069764	2.447688788	3.89590317	NA	37.5507	127.135	35.038	NA	5767.609375	25	NA
31.3	NA	NA	NA	29.5595348	22.68935583	NA	NA	0	0.012459394	0.075383899	0.017366013	NA	0	NA	0	37.5507	126.988	132.118	0.5931	NA	29.9	21.5
NA	23.4	63.00035477	96.47914886	30.26849943	24.18421741	NA	75.37088505	0.933450772	0.630890373	NA	0.424558521	2.278063171	0.006470619	NA	NA	37.6181	NA	53.4712	0.697	5802.665527	26.2	23.6
NA	21.2	84.54546356	NA	26.11371229	22.90665784	6.65028437	NA	0.844148764	NA	0.29230604	0.333997014	7.113466669	NA	0.202069119	NA	37.4697	NA	82.2912	2.2579	NA	29.7	NA
NA	21.6	76.27586365	95.59181976	26.80667578	23.14585319	8.805406551	NA	0.898099542	0.731740779	0.623571956	NA	1.993562023	NA	0	0.099034434	NA	NA	NA	5.1782	5503.885742	NA	22.1
NA	23.6	NA	88.82144928	23.20269022	21.56234941	NA	NA	NA	0.6341413	0.655031076	NA	NA	NA	NA	0.003095093	37.5372	126.891	NA	NA	5840.055176	25.2	21.3
32	22.2	NA	91.7294693	27.05757991	22.25981928	NA	78.85335139	NA	0.884395195	0.753662088	0.608417702	1.283185939	9.217300966	0.269399904	2.649243699	37.5507	126.988	132.118	0.5931	5918.901367	26.8	NA
30.4	NA	51.27626038	NA	32.63810693	23.39250599	5.518963709	99.89735046	0.115614924	0.188918364	0.198650815	0.211130122	0	NA	NA	0	NA	127.099	NA	NA	5668.702637	33	NA
28.7	24	82.35496521	92.51557922	27.15254467	NA	9.848386188	33.46282131	0.766854136	0.897005987	NA	0.536651513	0.011632398	3.031612874	0.003446462	0	37.5507	127.04	26.298	0.5721	5605.689453	26.4	NA
NA	22.8	NA	96.50205994	NA	NA	4.950924948	128.714012	0.169862686	NA	0.026521876	0.002020237	0	NA	0	0	NA	127.099	53.4712	0.697	4728.781738	32.4	20.1
31.4	NA	52.26592636	75.48375702	29.27366832	24.97015091	6.359285822	36.33996852	0.276464701	0.295129102	0.1885057	0.140354342	0	0	0	0	37.5776	126.938	75.0924	1.7678	5893.578125	31.8	21.6
NA	23.9	NA	NA	27.49942631	24.94467342	10.69520245	25.46427147	0.507992686	0.659255866	NA	NA	NA	NA	NA	0.003579172	NA	127.042	NA	NA	NA	NA	26
29.3	NA	NA	98.68825531	26.07398561	NA	10.63408436	40.5141126	0.745689274	0.956351267	0.51575982	0.450037226	0.174704156	5.536443591	NA	0.000656397	37.645	127.022	45.716	NA	NA	NA	NA
24.7	NA	58.76805878	NA	NA	21.21626988	NA	60.79483688	0.76484309	NA	0.215635844	0.509183532	7.555150807	NA	NA	0	37.4562	NA	208.507	5.1782	NA	NA	18.6
31.5	23.5	NA	NA	27.18709049	NA	12.79118335	111.3613453	0.627006141	NA	0.736755004	0.578573087	NA	NA	0.226573097	NA	37.5372	NA	NA	0.1554	NA	NA	21.8
32.2	24.6	36.46077728	86.32534027	NA	23.52060889	NA	NA	0.131202849	0.000547266	0.095902018	0.004986235	0	0	0	0	NA	127.032	44.7624	0.5141	4873.549805	NA	21.1
NA	NA	54.30526733	NA	NA	25.0684178	9.224128306	NA	0.488189224	0.222755591	NA	0.213835218	0	0	NA	0.024551868	37.5776	NA	NA	NA	NA	30.1	NA
NA	NA	73.5644989	NA	27.93490205	25.16759838	NA	14.2441058	NA	0.71723802	0.665855202	0.637963653	0.002357702	0	NA	0.002492561	NA	127.04	26.298	0.5721	5717.564453	29	24.7
32	27.1	54.47665787	NA	32.28989303	NA	9.094284932	39.10208854	0.271383944	0.606147622	0.287713504	0.540331222	0	0.008815636	0.005750068	1.190615444	NA	127.058	33.3068	NA	NA	32.8	NA
28.8	23.9	NA	NA	NA	23.56754068	5.623302728	33.6104423	0.201664152	0.093008403	0.018092304	0.001736111	NA	NA	0	0	NA	NA	59.8324	NA	NA	33.2	NA
30.6	20.6	55.98920059	83.05181122	27.8382153	NA	6.660373146	63.79443315	0	0.016226526	NA	0.018738054	NA	0	NA	0	37.4562	NA	208.507	5.1782	NA	29.1	NA
28.8	NA	81.38726044	NA	26.54397172	22.60426494	NA	56.72132901	0.942927245	NA	0.596806887	NA	NA	1.927569948	0.002312575	0.307688272	37.6046	NA	212.335	NA	5651.470703	24.1	21.2
32.3	25.3	NA	78.58073425	34.28778811	24.02077692	6.220370034	14.20708276	0.151052345	0.003430158	0.028946551	0.016474693	NA	NA	NA	NA	37.5776	127.058	33.3068	0.2661	NA	32.7	NA
NA	23.4	92.24992371	95.00267792	25.46	23.26465711	NA	32.66438377	NA	NA	0.939809594	0.920147863	9.009708881	8.966277197	NA	NA	NA	126.927	30.968	NA	5754.252441	25.8	NA
29	NA	75.13843536	88.93854523	28.12945914	NA	NA	26.8462495	0.724188238	0.79728914	0.72155945	0.616804898	NA	0.110917042	0	0.009951637	NA	126.927	30.968	NA	5807.829102	26.3	NA
30.3	23.6	68.42436218	NA	27.77169025	24.70707197	11.01777224	NA	NA	0.816216903	NA	0.159178339	0	0.249023408	5.754258513	0	37.5776	126.838	NA	0.0985	4519.286621	27.2	24.2
24.2	20.8	42.38866806	NA	30.62940735	NA	6.150047839	44.5630571	0.462860356	0.253879114	NA	NA	0	0	0	0	37.4697	126.91	52.518	1.5629	5845.816895	32.4	22
31.7	23.4	42.6628418	78.56309509	30.67621847	23.48673066	NA	14.14449898	0.002145596	0.013300279	0.084661128	0.015648773	0	0	0	0	NA	127.04	26.298	0.5721	4611.688965	29.6	23.7
30.9	24.8	62.57317734	NA	28.25579447	23.09450999	11.32779938	80.92581185	0.61063285	NA	NA	0.610183516	0.414610125	11.41392718	0.27150146	NA	37.5776	127.083	59.8324	2.6865	5855.550293	28.7	22.3
NA	26.6	NA	NA	NA	27.11110873	NA	88.41877158	0.225696362	NA	0.133942314	0.070239076	0	0.062936887	0	0	NA	126.891	15.5876	NA	NA	NA	26.8
25.4	23.9	88.08672333	NA	26.17615848	23.19326403	5.122682681	23.73706061	NA	0.940608044	0.856406697	0.912730323	9.165554285	NA	NA	NA	NA	NA	21.9668	0.1332	5749.308594	NA	NA
NA	20.9	NA	89.52035522	28.54323542	NA	7.860790352	48.87245198	NA	0.239038216	0.318086842	0.201759785	0	NA	0	0	37.4562	NA	208.507	5.1782	NA	28	20.9
32.6	NA	52.24502563	88.92932129	33.34417201	26.19000303	NA	NA	0.531110303	0.481160033	0.082639605	0.047911766	0.045711007	NA	0	0	NA	NA	NA	0.2661	NA	31.7	25.4
28.3	20.4	NA	86.55015564	NA	NA	NA	69.70983448	0.10596096	0.235347641	0.300446193	NA	0	0	0.035988889	0	37.4697	126.995	NA	2.2579	4526.640625	29.7	21.2
NA	23.7	58.70333099	99.1241684	30.88574853	23.06357688	NA	NA	0.819901408	0.373447006	NA	2.18e-05	0.111371478	0.023901654	0	NA	37.6181	127.004	146.554	4.7296	5907.943359	29.9	NA
30.9	NA	52.03385544	86.28840637	30.19207917	NA	NA	50.20446698	0.092407286	0.247094868	0.349668842	0.242978903	0	NA	NA	0	37.5102	127.042	54.6384	NA	5716.173828	29.2	23.9
31.5	24.4	53.31069946	93.82299042	30.66777848	NA	5.48861286	63.69941043	NA	0.178228504	0.07984284	0.069276581	0	0	NA	NA	37.645	NA	45.716	2.5348	5637.466309	NA	24.4
31.3	22	NA	82.3762207	29.39086987	23.86211971	6.643876016	95.40147893	0.415906746	NA	NA	NA	0	0	NA	0.043809777	37.5102	127.086	21.9668	0.1332	5847.513184	30.6	22.4
NA	23	NA	95.0278244	NA	24.4985266	5.51103435	29.42265636	0.591202938	0.577345079	0.619119213	0.419143823	NA	0.065025198	NA	0	37.5776	NA	75.0924	1.7678	NA	27	23.5
NA	26.3	NA	80.24168396	33.89683083	23.73358948	NA	36.10951467	0.159712611	0.004591524	0	0.016740446	NA	0	0	0	37.5776	127.083	59.8324	NA	4848.42334	33.3	NA
29.4	NA	36.55058289	72.63187408	32.74561684	22.38962934	5.969859242	32.55852199	NA	0.064937349	NA	0.131526693	0	0	0	0	37.5776	127.083	NA	2.6865	5861.027344	32.3	21.9
28.5	24	NA	93.60681915	28.55707831	22.12576695	6.574713896	NA	0.160765439	NA	0.010754324	0.050721799	0	0	NA	NA	37.645	127.022	45.716	2.5348	NA	31	23.3
29	NA	48.91342163	90.62117004	NA	NA	8.337131759	NA	0.233476733	NA	0.034951501	9.69e-07	NA	0	NA	0	37.5102	NA	21.9668	NA	NA	32.5	NA
NA	22.3	NA	83.56377411	NA	21.5284562	5.804635415	85.03097784	0.09810763	NA	NA	7.04e-05	NA	NA	NA	0	37.645	127.022	NA	2.5348	4679.124512	NA	22.1
26.1	22.9	65.56109619	99.96389008	29.56045966	NA	NA	70.38083025	0.558655189	0.221740559	0.10098541	0.07185551	NA	0.022450989	NA	NA	37.6181	127.004	146.554	4.7296	NA	NA	23.9
29.8	NA	74.50939941	NA	27.93510213	NA	7.873920282	NA	NA	0.752142302	0.645893868	NA	2.275304387	NA	0	0.131617183	37.4697	NA	52.518	1.5629	5505.75	27.2	23.8
NA	20.9	NA	87.20005035	30.17264409	NA	NA	37.16331649	0.129971636	0.49457903	0.397041432	0.7788579	0	0	NA	0.047192981	37.5102	127.042	54.6384	NA	NA	28.3	23.7
NA	22.9	45.73957062	73.91783142	30.04122362	24.29477615	6.462442011	NA	0.058319925	0.143193104	0.364954944	0.310245439	NA	NA	0	0	NA	126.891	15.5876	0.1554	NA	NA	NA
NA	NA	64.06834412	96.82883453	29.10739344	NA	6.378357838	NA	0.333180567	NA	NA	0.069004253	0	0	0	NA	37.4967	126.826	50.9312	0.4125	5844.305176	29.6	20.1
NA	23.7	76.6184082	95.41114807	NA	24.70206667	5.678186466	32.12260772	0.611681927	0.629728192	NA	0.368096202	2.347471895	0.020990464	NA	NA	NA	127.032	44.7624	0.5141	5698.280273	25.8	23.6
29.4	NA	53.98692322	95.04798889	29.41830531	24.66709063	NA	44.76277951	NA	0.308445799	0.175732524	0.045901102	2.363931692	NA	0	0	37.5507	NA	132.118	0.5931	5501.149414	30.4	22.9
NA	23.5	52.43712616	NA	29.21934227	23.8226129	NA	NA	NA	0.280817986	0.232840977	0.146362898	0	0	NA	0	37.5102	127.042	54.6384	0.1457	5873.780762	31.5	24
NA	24.8	NA	89.1174469	31.62663124	26.40704477	8.196175605	125.3526398	0.43596712	0.336818573	0.069901138	0.053524285	0.019933111	0	0	NA	37.6181	127.099	53.4712	0.697	4973.395996	32.6	27
31.5	26.3	63.10882187	86.57404327	NA	27.00976589	7.649418811	28.81042385	0.228334207	NA	0.207708782	NA	0	0	0.033994012	0	37.5776	NA	59.8324	2.6865	NA	30.7	26
NA	NA	45.54912186	85.95018005	30.15648376	23.79936702	5.737728645	48.55917565	0.08363339	NA	0.243813105	0.33224697	NA	0	NA	0	NA	NA	17.2956	NA	5517.208008	31.2	22.8
30.9	NA	NA	91.1552887	27.47112974	22.86292135	12.71355206	96.69394875	0.617364807	NA	0.739396955	0.593297188	1.836599623	NA	0.238097434	2.331715455	37.5237	126.909	17.2956	0.2223	5844.961914	28.2	21.9
NA	NA	41.65520096	80.75293732	NA	21.70626899	NA	33.68681053	NA	0.251895476	NA	NA	NA	0	0	NA	37.5507	126.937	30.0464	0.8552	NA	28.5	NA
32.2	24.3	42.09881973	NA	NA	27.63798666	NA	NA	NA	0.30927742	0.1895902	0.594830728	NA	0	0	NA	37.5776	127.058	33.3068	0.2661	4798.212891	32.9	NA
32.4	22.2	45.9751358	90.89457703	30.35862738	NA	6.037118192	87.40332136	NA	NA	0.010870821	0	0	NA	0	0	NA	NA	45.716	NA	NA	32.6	NA
30.1	23	77.23042297	92.50033569	28.01385157	NA	9.069138209	NA	0.681135772	0.697585816	0.577374378	0.475691198	0.04976022	0.404178993	0.012442918	0.015996758	37.4832	NA	NA	1.2313	5813.991211	NA	23.2
26	NA	NA	97.30028534	30.67086033	24.64905522	8.769667526	38.19088316	0.580145372	NA	0.076532703	0.054993504	3.664214253	0	0	0	37.5507	126.937	30.0464	0.8552	5496.536133	29.8	23.4
28.1	NA	87.06850433	97.99530029	25.70363141	23.42920838	7.004286985	75.02441867	NA	0.93576519	NA	0.413422373	8.645199277	7.851131916	0.29593874	NA	NA	126.838	12.37	NA	NA	30	21.9
25.4	24	89.63317871	95.23088837	25.82895157	23.09367395	5.643541306	29.13637873	0.908170213	NA	NA	NA	8.976617893	9.392399877	0.603489221	0.020373456	37.5102	127.042	54.6384	NA	NA	26.1	22.7
NA	23.5	58.64703369	91.81254578	32.56461096	24.10595843	4.702806085	94.78635287	0.53578727	0.359275684	0.386490532	0.699422369	0.023225752	0	7.017728329	2.172684461	NA	126.838	NA	NA	5789.760742	NA	24.3
30.3	NA	84.38113403	95.81143188	29.59259506	26.70674321	7.126191378	67.34136764	0.253291011	0.421935287	0.411655076	0.185374315	0	NA	NA	0	NA	126.838	12.37	NA	NA	27.9	22.1
28.6	NA	NA	NA	27.98439487	24.88849657	10.94337765	34.49195929	0.704178226	0.821856194	NA	0.649118773	0.012825775	0.182414927	NA	NA	NA	126.937	30.0464	0.8552	5817.358398	NA	NA
28.5	20.2	77.35435486	90.55984497	NA	24.51399347	NA	52.54828592	0.663637455	NA	0.546962441	NA	0.049732113	NA	NA	0.010356765	37.4697	NA	82.2912	2.2579	5809.117188	NA	NA
26.4	23.9	72.67809296	93.90267944	NA	NA	5.68217658	NA	0.581690518	0.590803845	NA	0.367174483	0.189834891	0.220045138	0	0	NA	NA	17.2956	NA	5678.131836	NA	24
26.7	23.4	51.31728745	94.76531219	31.71052449	NA	6.441977054	42.27609849	0.830599161	0.444934847	0.164254578	0.010829354	0.086954673	NA	NA	0	37.5776	126.938	75.0924	1.7678	5868.875	30.2	21.5
32.7	NA	54.70013046	80.03022766	29.7055569	24.06358639	6.897141318	NA	NA	0.37400406	0.56305689	0.627716636	0	0	0.051289297	0.123598258	NA	127.085	NA	0.6233	NA	31	NA
NA	25.9	47.12777328	86.91422272	32.12882272	26.78400737	NA	86.41977421	0.15006992	0.123131377	0.239724216	0.029347555	0	0	0	NA	37.5102	127.086	21.9668	0.1332	5050.93457	34.2	25.6
33.6	25	65.53984833	87.70681	29.86053297	NA	NA	NA	0.499738153	0.768084734	NA	0.215437096	0	1.920637071	NA	0	NA	NA	NA	NA	5384.778809	30.4	25.7
28.6	23.2	46.00736618	89.98445129	NA	NA	NA	NA	0.229048888	0.203180954	0.022949654	9.6e-05	0	NA	0	0	37.5372	127.085	28.7	NA	5852.796875	31.6	21.2
30.8	20.4	NA	82.58489227	30.35398225	22.15571381	NA	98.38665271	0.014318005	0.158506473	0.417389887	NA	0	0	NA	0	NA	126.995	NA	NA	5835.20166	28.7	20.1
NA	NA	37.80263901	86.17224884	NA	21.6423467	5.391498715	98.70113653	NA	0.095907916	0.011018509	0.030935832	0	0	0	0	37.4967	126.826	50.9312	0.4125	NA	33.3	20.1
29.8	23.1	NA	NA	33.00772838	23.79984713	6.045134008	58.29525121	NA	0.082095586	0.000951589	0.003459206	NA	0	0	0	37.5102	127.042	54.6384	0.1457	4727.685547	32.8	23.3
31.6	NA	50.2035141	NA	29.33662746	22.88430316	5.717205723	93.56490062	0.054957669	0.160004128	NA	0.311315919	NA	0	0	0	37.4967	126.826	NA	0.4125	5851.988281	28.9	NA
28.5	NA	57.14565277	97.2346344	32.62455556	NA	7.462024182	106.1164595	NA	0.317621169	0.403506601	0.628699351	NA	NA	15.84123484	0.893206957	37.6181	NA	146.554	4.7296	5874.696777	33.2	24.2
NA	22.6	52.30291367	92.26377869	33.0232683	NA	5.929816594	NA	NA	0.427247088	0.147418411	0.088022938	0.062174475	0	NA	0	37.5507	126.937	30.0464	0.8552	NA	NA	24.9
32.9	24.6	54.46624756	88.15239716	33.98116211	27.56609242	8.814040283	NA	0.337205771	0.320232182	0.107116149	0.014666688	0	0	0	0	37.5372	NA	NA	NA	NA	34.9	27.4
30.5	21.2	68.70334625	NA	27.65650812	24.42652663	NA	43.21711878	0.235743335	NA	NA	0.135360233	0	0.109433077	5.483604908	0	37.6046	127.032	44.7624	0.5141	4542.624023	NA	21.9
29.1	NA	52.89715195	89.80819702	28.61599485	NA	7.587070545	38.22995297	NA	0.178155659	0.002252808	0.015602306	NA	NA	0	NA	NA	126.938	75.0924	NA	5779.14209	31.3	NA
30.6	24.8	NA	97.16131592	31.54998189	NA	6.561312209	78.81662535	0.108914156	0.161834038	0.119066735	NA	9.99e-05	NA	NA	0	37.645	127.022	45.716	2.5348	NA	32.1	24.3
33.1	NA	NA	NA	32.27017923	NA	NA	137.6916	0.114651776	0.000542091	1.03e-05	0.009407041	0	0	NA	0	NA	127.099	53.4712	0.697	4871.677246	31.8	20.4
29.5	23.4	54.14718628	96.13341522	NA	NA	NA	39.85949002	NA	NA	NA	0.04171869	2.897195938	0	0	NA	NA	126.927	NA	0.618	5437.17041	NA	24.3
31.5	27.6	NA	NA	NA	NA	8.081364751	149.7705431	0.622016033	0.275949812	NA	0	8.273922683	0.011374395	NA	NA	NA	127.135	35.038	0.5055	NA	29.7	24.5
33.6	22	NA	NA	33.03968451	NA	6.187909693	NA	0.212074656	NA	NA	0.623028946	NA	0	0	0.003452791	37.4562	NA	208.507	5.1782	4731.641113	33.3	NA
27.6	23.3	54.70655823	96.59393311	27.33612233	22.53536574	6.211934298	80.98903752	NA	0.109909163	0.033347479	NA	0	0	0	0	37.645	127.022	45.716	2.5348	NA	29.5	23
NA	NA	59.08839798	88.8057251	33.14450598	NA	9.743084192	NA	0.370773014	0.287157068	0.063566371	0.016086539	NA	NA	NA	0	37.4697	126.91	NA	1.5629	5232.047852	33.6	27.4
NA	23.3	70.36209869	92.08650208	29.06207812	24.22999217	7.393260022	46.60266179	NA	NA	NA	0.871608843	3.434935768	NA	0	0.15215607	37.5507	127.04	NA	0.5721	NA	26.6	NA
25.7	23.8	74.94017029	97.45431519	27.08612127	24.33557423	9.757408162	NA	0.848391725	0.612998063	NA	0.731000152	0.121669871	NA	0.001964755	0	37.6046	127.032	44.7624	0.5141	5789.401367	NA	23.7
NA	24	84.04877472	91.92289734	26.8112991	25.3653032	NA	38.76842574	0.745851324	0.904432741	NA	NA	NA	NA	0.009697011	NA	37.5507	NA	30.0464	NA	5614.786621	NA	24.3
29.9	23.4	NA	NA	30.75521604	24.69938939	6.153652161	46.10974856	0.207031747	0.183985743	0.013859617	0.018790265	NA	0	0	NA	37.5237	126.909	17.2956	NA	5537.589844	31.9	24
29.2	25.9	76.31803131	93.78825378	NA	NA	9.422748566	46.57112932	NA	0.908999039	NA	NA	9.998446851	18.42803252	0	NA	37.5237	126.97	19.5844	0.2713	NA	30.4	24.3
29.2	NA	NA	82.83972168	30.35747682	23.35883205	6.385808309	71.13282259	0.649548734	0.680346077	NA	0.135273665	NA	0.400204017	NA	0	NA	127.042	54.6384	0.1457	5840.882813	28.3	23.5
NA	NA	61.49686432	94.67788696	29.20140373	NA	7.971427078	42.23864172	0.020731295	NA	NA	0.824049728	NA	NA	0.068828317	NA	37.5507	126.988	132.118	0.5931	NA	29.2	NA
NA	23.1	35.04372406	74.32886505	32.54957275	23.4416228	NA	NA	0.129438896	NA	0.00896112	NA	0	0	0	0	NA	127.085	NA	NA	NA	NA	NA
27.3	25	58.12254334	NA	NA	23.76835798	NA	NA	NA	0.522167895	0.088847114	0.180582775	1.883135896	0.826813539	0	0	NA	127.042	54.6384	NA	5598.921387	NA	23.8
31.3	22.3	NA	93.51849365	29.37868464	22.40528303	NA	70.98968858	0.014634851	0.108864153	0.694900223	0.813098113	0	0	0.105390659	9.870644254	37.4832	127.024	56.4448	1.2313	NA	NA	22.8
27.5	24	46.75131226	NA	28.02472301	24.09120212	7.537266036	48.68057942	0.163438869	NA	0.06803586	NA	0	NA	0.015542315	NA	NA	NA	54.6384	0.1457	4498.840332	29.5	NA
NA	23.5	47.24577713	81.67827606	31.93089691	NA	NA	NA	0.234355979	NA	0.231227683	NA	NA	NA	0	0	37.5776	126.938	NA	1.7678	NA	31.7	NA
30.7	20.8	63.89918137	84.93093109	NA	23.98983891	8.840452413	NA	0.163219205	NA	NA	0.79850517	0	NA	0	NA	37.5776	127.058	33.3068	0.2661	5845.751465	28.2	23.1
25.1	22.5	NA	NA	28.39814713	NA	3.477725675	NA	NA	0.577122759	0.202335878	0.480071972	NA	0.430154772	0.132638042	NA	37.5776	126.838	NA	0.0985	5575.671387	24.4	18.7
28.8	NA	NA	92.32090759	29.992563	NA	5.422285189	119.3884021	NA	0.075659638	NA	0.164723274	0	0	0	0	NA	NA	12.37	0.0985	5849.233398	31.1	NA
NA	23.2	NA	NA	23.31086148	21.18479235	8.341572156	54.82254334	0.802496913	NA	0.757915298	0.399251287	1.193993753	0.120942073	0.22684511	NA	37.5507	127.04	NA	0.5721	5848.048828	NA	21.5
29.5	NA	49.24071884	89.92102814	34.38954535	NA	NA	88.93340258	0.568818816	0.460893466	0.445169376	0.681451632	NA	0	3.412337754	0.769093622	37.5776	127.083	59.8324	NA	5800.494629	33.6	25.4
NA	24	76.09487915	94.49876404	26.93038293	24.61575104	5.430871129	34.51653123	0.597005702	0.590315779	0.608050462	0.370180968	NA	0.071678175	NA	0	37.5372	126.891	15.5876	0.1554	5679.824707	30	24
NA	27.6	NA	93.2412796	31.23154719	25.50469073	7.378210078	153.7795456	0.691629227	0.226762604	NA	0	13.61614409	NA	0	NA	NA	126.838	NA	0.0985	NA	29.8	26.2
30.1	20.3	78.77919006	98.7556839	NA	NA	NA	38.96497571	0.161518868	0.392112414	0.393325412	NA	0	0	NA	0.052353814	37.6181	127.004	NA	4.7296	NA	NA	NA
28.1	22.5	69.92559052	90.74260712	26.63739221	22.08206575	6.97213766	NA	NA	0.536260674	0.101387577	0.067138989	0.009084933	0.002691852	NA	NA	37.5776	126.838	12.37	0.0985	5745.85498	28.1	23.2
28.8	23.9	80.66603088	NA	26.80763885	24.76844547	NA	68.35921399	0.568540225	0.69989819	NA	0.589985299	NA	0	NA	0.003585456	37.5776	NA	12.37	NA	5706.640625	NA	NA
32.1	22.8	32.45586014	NA	NA	NA	NA	63.31465546	0.047657187	NA	0.00125633	0	0	0	0	0	NA	NA	NA	0.1457	4653.651855	32.8	NA
NA	23	73.47997284	NA	28.3520001	23.62510453	9.017733554	NA	NA	0.392845664	NA	0.217746775	0.271238646	0	0.009011526	NA	37.5507	NA	NA	0.5721	NA	NA	23.5
28.6	NA	35.61383057	87.57182312	30.01300257	NA	5.385025889	87.60584482	NA	0.759799257	NA	0.072904829	0	0.032347709	0	0	37.4967	126.826	50.9312	0.4125	NA	29.4	21.5
32.5	NA	52.82799912	89.58683777	32.11222663	27.0850704	8.926363071	35.73674719	0.255652321	0.488704237	0.234294805	0.527896845	NA	0	NA	0.226945261	37.5237	126.97	19.5844	0.2713	4928.546875	NA	NA
27.8	NA	NA	86.73906708	29.77947579	23.4202939	NA	18.48560119	0.290838304	0.24859836	0.04477977	NA	0	NA	NA	NA	37.5237	NA	19.5844	NA	NA	31.5	23
25.7	NA	53.35930252	NA	NA	24.19750198	NA	NA	0.448421208	0.26697199	NA	0.122265473	0	0	0	NA	NA	127.032	NA	0.5141	5682.862305	30.3	22.6
28.2	24.1	59.50675201	NA	30.64327863	24.42384585	7.159529686	66.18922246	0.901486937	0.555759893	NA	0.329828512	0.999030648	0	NA	0	37.4832	127.024	56.4448	1.2313	5794.006836	28	25
26.8	22.3	52.24894714	NA	32.83285031	24.34439319	6.447191328	NA	NA	0.389873962	0.16388094	NA	NA	NA	NA	NA	37.5507	NA	132.118	NA	5323.390137	32.7	23.6
